pwsid,year,month,produced_or_delivery,produced_or_delivery_type,population,acre_feet
CA0110010,2014,Apr,water produced,purchased or received from another pws,40,0
CA0110003,2014,Apr,water produced,sold to another pws,56726,NA
CA0110008,2014,Apr,water produced,total amount of potable water,73067,996.0443783717
CA0110009,2014,Aug,water produced,total amount of potable water,79547,796.437774832
CA0110011,2014,Dec,water produced,non-potable (total excluded recycled),27033,NA
CA0110003,2014,Dec,water produced,purchased or received from another pws,56726,308.4661394318262
CA0110011,2014,Dec,water produced,purchased or received from another pws,27033,236.86597092655
CA0110018,2014,Dec,water produced,recycled,0,NA
CA0110009,2014,Dec,water produced,sold to another pws,79547,NA
CA0110018,2014,Feb,water produced,non-potable (total excluded recycled),0,NA
CA0110009,2014,Feb,water produced,recycled,79547,22.2494369125
CA0110009,2014,Feb,water produced,surface water,79547,NA
CA0110010,2014,Feb,water produced,surface water,40,1532.295703505
CA0110011,2014,Feb,water produced,surface water,27033,NA
CA0110003,2014,Feb,water produced,sold to another pws,56726,NA
CA0110006,2014,Feb,water produced,sold to another pws,151037,NA
CA0110011,2014,Feb,water produced,sold to another pws,27033,NA
CA0110006,2014,Jan,water produced,groundwater wells,151037,NA
CA0110010,2014,Jan,water produced,non-potable (total excluded recycled),40,174.92660745
CA0110008,2014,Jan,water produced,recycled,73067,0
CA0110006,2014,Jan,water produced,surface water,151037,NA
CA0110009,2014,Jan,water produced,sold to another pws,79547,NA
CA0110001,2014,Jan,water produced,total amount of potable water,"340,000",3355.52197519
CA0110009,2014,Jul,water produced,non-potable (total excluded recycled),79547,NA
CA0110011,2014,Jul,water produced,sold to another pws,27033,NA
CA0110018,2014,Jul,water produced,sold to another pws,0,74.680403006282
CA0110011,2014,Jul,water produced,total amount of potable water,27033,557.6445423356499
CA0110018,2014,Jun,water produced,non-potable (total excluded recycled),0,NA
CA0110001,2014,Jun,water produced,purchased or received from another pws,"340,000",674.234660645
CA0110005,2014,Jun,water produced,recycled,"1,379,000",1175.690935335
CA0110008,2014,Jun,water produced,recycled,73067,9.3601079424999991
CA0110001,2014,Jun,water produced,surface water,"340,000",2147.300828645
CA0110018,2014,Jun,water produced,surface water,0,NA
CA0110003,2014,Mar,water produced,groundwater wells,56726,242.57099103578017
CA0110001,2014,Mar,water produced,total amount of potable water,"340,000",2813.55638088
CA0110011,2014,May,water produced,groundwater wells,27033,NA
CA0110011,2014,May,water produced,surface water,27033,NA
CA0110005,2014,May,water produced,sold to another pws,"1,379,000",38.05420934
CA0110003,2014,May,water produced,total amount of potable water,56726,951.1770717291032
CA0110008,2014,May,water produced,total amount of potable water,73067,1398.50139990855
CA0110009,2014,May,water produced,total amount of potable water,79547,893.5680752845
CA0110006,2014,Nov,water produced,groundwater wells,151037,NA
CA0110008,2014,Nov,water produced,groundwater wells,73067,71.27492031625
CA0110018,2014,Nov,water produced,recycled,0,NA
CA0110001,2014,Nov,water produced,surface water,"340,000",0
CA0110008,2014,Nov,water produced,sold to another pws,73067,0
CA0110003,2014,Oct,water produced,groundwater wells,56726,161.2700283258299
CA0110008,2014,Oct,water produced,non-potable (total excluded recycled),73067,NA
CA0110008,2014,Oct,water produced,purchased or received from another pws,73067,1002.9984782397999
CA0110010,2014,Oct,water produced,recycled,40,0
CA0110003,2014,Oct,water produced,surface water,56726,NA
CA0110005,2014,Oct,water produced,surface water,"1,379,000",16282.905154529999
CA0110006,2014,Oct,water produced,surface water,151037,NA
CA0110008,2014,Oct,water produced,sold to another pws,73067,0
CA0110003,2014,Oct,water produced,total amount of potable water,56726,716.0604079778794
CA0110018,2014,Oct,water produced,total amount of potable water,0,31.379863802781024
CA0110001,2014,Sep,water produced,groundwater wells,"340,000",985.72677742
CA0110008,2014,Apr,water produced,non-potable (total excluded recycled),73067,NA
CA0110001,2014,Annual,water delivered,landscape irrigation,"340,000",1200.64127862
CA0110001,2014,Annual,water delivered,other,"340,000",2573.26646928
CA0110001,2014,Aug,water delivered,other,"340,000",314.7620559
CA0110001,2014,Jan,water delivered,multi-family residential,"340,000",654.99479235
CA0110001,2014,Jul,water delivered,agriculture,"340,000",0.11248881
CA0110001,2014,Jul,water delivered,other pws,"340,000",NA
CA0110001,2014,Jun,water delivered,industrial,"340,000",153.15007128
CA0110001,2014,Mar,water delivered,multi-family residential,"340,000",420.20998467
CA0110001,2014,Mar,water delivered,other,"340,000",100.99429017
CA0110001,2014,May,water delivered,agriculture,"340,000",NA
CA0110001,2014,May,water delivered,other pws,"340,000",NA
CA0110001,2014,May,water delivered,single-family residential,"340,000",1282.99686168
CA0110001,2014,Nov,water delivered,commercial/institutional,"340,000",415.4969331
CA0110001,2014,Nov,water delivered,other,"340,000",277.71421068
CA0110001,2014,Oct,water delivered,multi-family residential,"340,000",843.86350434
CA0110001,2014,Sep,water delivered,other pws,"340,000",NA
CA0110001,2014,Sep,water delivered,single-family residential,"340,000",1790.14462665
CA0110003,2014,Annual,water delivered,total retail,56726,8026.40717286
CA0110003,2014,Apr,water delivered,commercial/institutional,56726,116.83455117
CA0110003,2014,Apr,water delivered,other pws,56726,NA
CA0110003,2014,Aug,water delivered,landscape irrigation,56726,NA
CA0110003,2014,Dec,water delivered,commercial/institutional,56726,99.48831753
CA0110003,2014,Feb,water delivered,industrial,56726,NA
CA0110003,2014,Feb,water delivered,single-family residential,56726,362.33334408
