pwsid,org_id,year,source_type,source_status,number_of_sources
CA0410005,412,2022,groundwater,approved,1
CA0410005,412,2022,groundwater,new,NA
CA0410005,412,2022,purchased grounwater,approved,0
CA0410005,412,2022,purchased grounwater,new,NA
CA0410005,412,2022,purchased surface water,approved,0
CA0410005,412,2022,purchased surface water,new,NA
CA0410005,412,2022,standby sources,approved,1
CA0410005,412,2022,standby sources,new,NA
CA0410005,412,2022,surface water,approved,1
CA0410005,412,2022,surface water,new,NA
CA0410006,2337,2022,emergency interties,approved,0
CA0410006,2337,2022,emergency interties,new,NA
CA0410006,2337,2022,groundwater,approved,0
CA0410006,2337,2022,groundwater,new,NA
CA0410006,2337,2022,purchased grounwater,approved,0
CA0410006,2337,2022,purchased grounwater,new,NA
CA0410006,2337,2022,purchased surface water,approved,0
CA0410006,2337,2022,purchased surface water,new,NA
CA0410006,2337,2022,standby sources,approved,0
CA0410006,2337,2022,standby sources,new,NA
CA0410006,2337,2022,surface water,approved,1
CA0410006,2337,2022,surface water,new,NA
CA0410007,1859,2022,emergency interties,approved,0
CA0410007,1859,2022,emergency interties,new,0
CA0410007,1859,2022,groundwater,approved,1
CA0410007,1859,2022,groundwater,new,0
CA0410007,1859,2022,purchased grounwater,approved,0
CA0410007,1859,2022,purchased grounwater,new,0
CA0410007,1859,2022,purchased surface water,approved,0
CA0410007,1859,2022,purchased surface water,new,0
CA0410007,1859,2022,standby sources,approved,0
CA0410007,1859,2022,standby sources,new,0
CA0410007,1859,2022,surface water,approved,1
CA0410007,1859,2022,surface water,new,0
CA0410008,2466,2022,emergency interties,approved,0
CA0410008,2466,2022,emergency interties,new,NA
CA0410008,2466,2022,groundwater,approved,4
CA0410008,2466,2022,groundwater,new,NA
CA0410008,2466,2022,purchased grounwater,approved,0
CA0410008,2466,2022,purchased grounwater,new,NA
CA0410008,2466,2022,purchased surface water,approved,0
CA0410008,2466,2022,purchased surface water,new,NA
CA0410008,2466,2022,standby sources,approved,0
CA0410008,2466,2022,standby sources,new,NA
CA0410008,2466,2022,surface water,approved,1
CA0410008,2466,2022,surface water,new,NA
CA0410011,699,2022,emergency interties,approved,0
CA0410011,699,2022,emergency interties,new,0
CA0410011,699,2022,groundwater,approved,4
CA0410011,699,2022,groundwater,new,0
CA0410011,699,2022,purchased grounwater,approved,0
CA0410011,699,2022,purchased grounwater,new,0
CA0410011,699,2022,purchased surface water,approved,1
CA0410011,699,2022,purchased surface water,new,0
CA0410011,699,2022,standby sources,approved,0
CA0410011,699,2022,standby sources,new,0
CA0410011,699,2022,surface water,approved,0
CA0410011,699,2022,surface water,new,0
CA0510001,NA,2022,emergency interties,approved,0
CA0510001,NA,2022,emergency interties,new,0
CA0510001,NA,2022,groundwater,approved,0
CA0510001,NA,2022,groundwater,new,0
CA0510001,NA,2022,purchased grounwater,approved,0
CA0510001,NA,2022,purchased grounwater,new,0
CA0510001,NA,2022,purchased surface water,approved,0
CA0510001,NA,2022,purchased surface water,new,0
CA0510001,NA,2022,standby sources,approved,0
CA0510001,NA,2022,standby sources,new,0
CA0510001,NA,2022,surface water,approved,1
CA0510001,NA,2022,surface water,new,0
CA0510002,NA,2022,emergency interties,approved,0
CA0510002,NA,2022,emergency interties,new,NA
CA0510002,NA,2022,groundwater,approved,0
CA0510002,NA,2022,groundwater,new,NA
CA0510002,NA,2022,purchased grounwater,approved,0
CA0510002,NA,2022,purchased grounwater,new,NA
CA0510002,NA,2022,purchased surface water,approved,0
CA0510002,NA,2022,purchased surface water,new,NA
CA0510002,NA,2022,standby sources,approved,0
CA0510002,NA,2022,standby sources,new,NA
CA0510002,NA,2022,surface water,approved,1
CA0510002,NA,2022,surface water,new,NA
CA0510003,NA,2022,emergency interties,approved,0
CA0510003,NA,2022,emergency interties,new,NA
CA0510003,NA,2022,groundwater,approved,0
CA0510003,NA,2022,groundwater,new,NA
CA0510003,NA,2022,purchased grounwater,approved,0
CA0510003,NA,2022,purchased grounwater,new,NA
CA0510003,NA,2022,purchased surface water,approved,0
CA0510003,NA,2022,purchased surface water,new,NA
CA0510003,NA,2022,standby sources,approved,0
CA0510003,NA,2022,standby sources,new,NA
CA0510003,NA,2022,surface water,approved,1
CA0510003,NA,2022,surface water,new,NA
CA0510006,351,2022,emergency interties,approved,0
CA0510006,351,2022,emergency interties,new,NA
CA0510006,351,2022,groundwater,approved,0
CA0510006,351,2022,groundwater,new,NA
CA0510006,351,2022,purchased grounwater,approved,0
CA0510006,351,2022,purchased grounwater,new,NA
CA0510006,351,2022,purchased surface water,approved,0
CA0510006,351,2022,purchased surface water,new,NA
CA0510006,351,2022,standby sources,approved,0
CA0510006,351,2022,standby sources,new,NA
CA0510006,351,2022,surface water,approved,1
CA0510006,351,2022,surface water,new,NA
CA0510009,NA,2022,emergency interties,approved,0
CA0510009,NA,2022,emergency interties,new,NA
CA0510009,NA,2022,groundwater,approved,3
CA0510009,NA,2022,groundwater,new,NA
CA0510009,NA,2022,purchased grounwater,approved,0
CA0510009,NA,2022,purchased grounwater,new,NA
CA0510009,NA,2022,purchased surface water,approved,1
CA0510009,NA,2022,purchased surface water,new,NA
CA0510009,NA,2022,standby sources,approved,0
CA0510009,NA,2022,standby sources,new,NA
CA0510009,NA,2022,surface water,approved,0
CA0510009,NA,2022,surface water,new,NA
CA0510016,351,2022,emergency interties,approved,0
CA0510016,351,2022,emergency interties,new,NA
CA0510016,351,2022,groundwater,approved,0
CA0510016,351,2022,groundwater,new,NA
CA0510016,351,2022,purchased grounwater,approved,0
CA0510016,351,2022,purchased grounwater,new,NA
CA0510016,351,2022,purchased surface water,approved,0
CA0510016,351,2022,purchased surface water,new,NA
CA0510016,351,2022,standby sources,approved,0
CA0510016,351,2022,standby sources,new,NA
CA0510016,351,2022,surface water,approved,3
CA0510016,351,2022,surface water,new,NA
CA0510017,351,2022,emergency interties,approved,0
CA0510017,351,2022,emergency interties,new,NA
CA0510017,351,2022,groundwater,approved,0
CA0510017,351,2022,groundwater,new,NA
CA0510017,351,2022,purchased grounwater,approved,0
CA0510017,351,2022,purchased grounwater,new,NA
CA0510017,351,2022,purchased surface water,approved,0
CA0510017,351,2022,purchased surface water,new,NA
CA0510017,351,2022,standby sources,approved,0
CA0510017,351,2022,standby sources,new,NA
CA0510017,351,2022,surface water,approved,1
CA0510017,351,2022,surface water,new,NA
CA0610001,NA,2022,emergency interties,approved,0
CA0610001,NA,2022,emergency interties,new,0
CA0610001,NA,2022,groundwater,approved,4
CA0610001,NA,2022,groundwater,new,0
CA0610001,NA,2022,purchased grounwater,approved,0
CA0610001,NA,2022,purchased grounwater,new,0
CA0610001,NA,2022,purchased surface water,approved,0
CA0610001,NA,2022,purchased surface water,new,0
CA0610001,NA,2022,standby sources,approved,0
CA0610001,NA,2022,standby sources,new,0
CA0610001,NA,2022,surface water,approved,0
CA0610001,NA,2022,surface water,new,0
CA0610002,NA,2022,emergency interties,approved,0
