pwsid,year,source_type,source_name
CA0202522,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""WELL 01                                 "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202522,2022,SourcesGWNotListedGrid,NA
CA0202522,2022,SourcesSWGrid,NA
CA0202522,2022,SourcesSWNotListedGrid,NA
CA0202523,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""HAND PUMP"",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202523,2022,SourcesGWNotListedGrid,NA
CA0202523,2022,SourcesSWGrid,NA
CA0202523,2022,SourcesSWNotListedGrid,NA
CA0202524,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""WELL 01                                 "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202524,2022,SourcesGWNotListedGrid,NA
CA0202524,2022,SourcesSWGrid,NA
CA0202524,2022,SourcesSWNotListedGrid,NA
CA0202525,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""WELL 01                                 "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202525,2022,SourcesGWNotListedGrid,NA
CA0202525,2022,SourcesSWGrid,NA
CA0202525,2022,SourcesSWNotListedGrid,NA
CA0202529,2022,SourcesGWGrid,"[{""Opt1"":""002"",""Opt2"":""WELL 02                                 "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202529,2022,SourcesGWNotListedGrid,NA
CA0202529,2022,SourcesSWGrid,NA
CA0202529,2022,SourcesSWNotListedGrid,NA
CA0202530,2022,SourcesGWGrid,"[{""Opt1"":""002"",""Opt2"":""SPRING 01"",""Opt3"":""A"",""Opt4"":""Spring Permanent""}]"
CA0202530,2022,SourcesGWNotListedGrid,NA
CA0202530,2022,SourcesSWGrid,NA
CA0202530,2022,SourcesSWNotListedGrid,NA
CA0202532,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""WELL                                    "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202532,2022,SourcesGWNotListedGrid,NA
CA0202532,2022,SourcesSWGrid,NA
CA0202532,2022,SourcesSWNotListedGrid,NA
CA0202542,2022,SourcesGWGrid,"[{""Opt1"":""002"",""Opt2"":""WELL 02                                 "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202542,2022,SourcesGWNotListedGrid,NA
CA0202542,2022,SourcesSWGrid,NA
CA0202542,2022,SourcesSWNotListedGrid,NA
CA0202543,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""WELL 01                                 "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202543,2022,SourcesGWNotListedGrid,NA
CA0202543,2022,SourcesSWGrid,NA
CA0202543,2022,SourcesSWNotListedGrid,NA
CA0202547,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""WELL                                    "",""Opt3"":""A"",""Opt4"":""Well Permanent""},{""Opt1"":""002"",""Opt2"":""WELL 02                                 "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202547,2022,SourcesGWNotListedGrid,NA
CA0202547,2022,SourcesSWGrid,NA
CA0202547,2022,SourcesSWNotListedGrid,NA
CA0202548,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""WELL                                    "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202548,2022,SourcesGWNotListedGrid,NA
CA0202548,2022,SourcesSWGrid,NA
CA0202548,2022,SourcesSWNotListedGrid,NA
CA0202549,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""SPRING 01"",""Opt3"":""A"",""Opt4"":""Spring Permanent""},{""Opt1"":""002"",""Opt2"":""WELL 01                                 "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202549,2022,SourcesGWNotListedGrid,NA
CA0202549,2022,SourcesSWGrid,NA
CA0202549,2022,SourcesSWNotListedGrid,NA
CA0202550,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""WELL 01                                 "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202550,2022,SourcesGWNotListedGrid,NA
CA0202550,2022,SourcesSWGrid,NA
CA0202550,2022,SourcesSWNotListedGrid,NA
CA0202552,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""WELL 01                                 "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202552,2022,SourcesGWNotListedGrid,NA
CA0202552,2022,SourcesSWGrid,NA
CA0202552,2022,SourcesSWNotListedGrid,NA
CA0202554,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""HAND PUMP"",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202554,2022,SourcesGWNotListedGrid,NA
CA0202554,2022,SourcesSWGrid,NA
CA0202554,2022,SourcesSWNotListedGrid,NA
CA0202556,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""WELL 01                                 "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202556,2022,SourcesGWNotListedGrid,NA
CA0202556,2022,SourcesSWGrid,NA
CA0202556,2022,SourcesSWNotListedGrid,NA
CA0202557,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""HAND PUMP"",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202557,2022,SourcesGWNotListedGrid,NA
CA0202557,2022,SourcesSWGrid,NA
CA0202557,2022,SourcesSWNotListedGrid,NA
CA0202562,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""HAND PUMP                               "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202562,2022,SourcesGWNotListedGrid,NA
CA0202562,2022,SourcesSWGrid,NA
CA0202562,2022,SourcesSWNotListedGrid,NA
CA0202563,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""HAND PUMP                               "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202563,2022,SourcesGWNotListedGrid,NA
CA0202563,2022,SourcesSWGrid,NA
CA0202563,2022,SourcesSWNotListedGrid,NA
CA0202564,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""HAND PUMP                               "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202564,2022,SourcesGWNotListedGrid,NA
CA0202564,2022,SourcesSWGrid,NA
CA0202564,2022,SourcesSWNotListedGrid,NA
CA0202565,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""HAND PUMP                               "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202565,2022,SourcesGWNotListedGrid,NA
CA0202565,2022,SourcesSWGrid,NA
CA0202565,2022,SourcesSWNotListedGrid,NA
CA0202566,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""HAND PUMP                               "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202566,2022,SourcesGWNotListedGrid,NA
CA0202566,2022,SourcesSWGrid,NA
CA0202566,2022,SourcesSWNotListedGrid,NA
CA0202570,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""WELL 01                                 "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202570,2022,SourcesGWNotListedGrid,NA
CA0202570,2022,SourcesSWGrid,NA
CA0202570,2022,SourcesSWNotListedGrid,NA
CA0202599,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""WELL 01                                 "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202599,2022,SourcesGWNotListedGrid,NA
CA0202599,2022,SourcesSWGrid,NA
CA0202599,2022,SourcesSWNotListedGrid,NA
CA0205425,2022,SourcesGWGrid,"[{""Opt1"":""002"",""Opt2"":""WELL"
CA0205425,2022,SourcesGWNotListedGrid,NA
CA0205425,2022,SourcesSWGrid,NA
CA0205425,2022,SourcesSWNotListedGrid,NA
CA0210001,2022,SourcesGWGrid,NA
CA0210001,2022,SourcesGWNotListedGrid,NA
CA0210001,2022,SourcesSWGrid,"[{""Opt1"":""001"",""Opt2"":""BEAR LAKE - RAW"",""Opt3"":""A"",""Opt4"":""Intake Permanent""}]"
CA0210001,2022,SourcesSWNotListedGrid,NA
CA0210300,2022,SourcesGWGrid,NA
CA0210300,2022,SourcesGWNotListedGrid,NA
CA0210300,2022,SourcesSWGrid,"[{""Opt1"":""001"",""Opt2"":""BUCK CREEK - RAW"",""Opt3"":""A"",""Opt4"":""Intake Permanent""}]"
CA0210300,2022,SourcesSWNotListedGrid,"[{""Opt1"":""001"",""Opt2"":""Buck Creek - Raw"",""Opt3"":""1"",""Opt4"":""Intake Permanent"",""ID"":""0""}]"
CA0300006,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""CAMP RITCHE WELL 01                     "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0300006,2022,SourcesGWNotListedGrid,NA
CA0300006,2022,SourcesSWGrid,NA
CA0300006,2022,SourcesSWNotListedGrid,NA
CA0300007,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""PLASSE SPRING PRIMARY SOURCE"",""Opt3"":""A"",""Opt4"":""Spring Permanent""}]"
CA0300007,2022,SourcesGWNotListedGrid,NA
CA0300007,2022,SourcesSWGrid,NA
CA0300007,2022,SourcesSWNotListedGrid,NA
CA0300010,2022,SourcesGWGrid,NA
CA0300010,2022,SourcesGWNotListedGrid,NA
CA0300010,2022,SourcesSWGrid,"[{""Opt1"":""001"",""Opt2"":""AWA PURCHASED SOURCE"",""Opt3"":""A"",""Opt4"":""Consecutive Connection Permanent""}]"
CA0300010,2022,SourcesSWNotListedGrid,NA
CA0300011,2022,SourcesGWGrid,"[{""Opt1"":""004"",""Opt2"":""WELL 02 - RAW"",""Opt3"":""P"",""Opt4"":""Well Permanent""}]"
CA0300011,2022,SourcesGWNotListedGrid,NA
CA0300011,2022,SourcesSWGrid,"[{""Opt1"":""001"",""Opt2"":""WELL 01 - RAW"",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0300011,2022,SourcesSWNotListedGrid,NA
CA0300016,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""VOLCANO CSD WELL 01                     "",""Opt3"":""A"",""Opt4"":""Well Permanent""},{""Opt1"":""002"",""Opt2"":""VOLCANO CSD WELL 02                     "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0300016,2022,SourcesGWNotListedGrid,NA
CA0300016,2022,SourcesSWGrid,"[{""Opt1"":""003"",""Opt2"":""CLEVELAND TUNNEL-RAW                    "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0300016,2022,SourcesSWNotListedGrid,NA
CA0300019,2022,SourcesGWGrid,"[{""Opt1"":""003"",""Opt2"":""FIDDLETOWN CSD WELL 02                  "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0300019,2022,SourcesGWNotListedGrid,NA
CA0300019,2022,SourcesSWGrid,NA
CA0300019,2022,SourcesSWNotListedGrid,NA
CA0300022,2022,SourcesGWGrid,"[{""Opt1"":""005"",""Opt2"":""WELL NO. 01                             "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0300022,2022,SourcesGWNotListedGrid,NA
CA0300022,2022,SourcesSWGrid,NA
CA0300022,2022,SourcesSWNotListedGrid,NA
