pwsid,population
CA2000597,271
CA2000598,177
CA2000600,664
CA2000601,251
CA2000602,66
CA2000605,38
CA2000607,150
CA2000608,106
CA2000611,441
CA2000612,500
CA2000616,354
CA2000647,80
CA2000688,100
CA2000690,375
CA2000692,150
CA2000724,100
CA2000727,84
CA2000728,350
CA2000729,135
CA2000737,100
CA2000757,300
CA2000760,353
CA2000775,370
CA2000800,50
CA2000828,23
CA2000832,450
CA2000840,48
CA2000844,485
CA2000846,250
CA2000848,143
CA2000849,150
CA2000851,150
CA2000865,75
CA2000947,450
CA2010001,13576
CA2010002,66172
CA2010003,4527
CA2010004,1637
CA2010005,6224
CA2010006,1789
CA2010007,6865
CA2010008,3172
CA2010009,1107
CA2010010,6428
CA2010011,1562
CA2010012,310
CA2010013,83
CA2010014,1023
CA2010016,2944
CA2010017,2640
CA2010800,2293
CA2010801,2968
CA2100508,336
CA2100519,206
CA2100538,227
CA2100545,212
CA2100549,35
CA2100560,265
CA2100565,75
CA2100579,43
CA2100582,40
CA2110001,1445
CA2110002,193937
CA2110003,61683
CA2110004,583
CA2110005,2483
CA2110006,1700
CA2110007,396
CA2110008,946
CA2110350,18447
CA2110502,1560
CA2210001,2000
CA2210002,798
CA2210503,1000
CA2210510,150
CA2210515,635
CA2210851,60
CA2210900,656
CA2210901,193
CA2210903,275
CA2210905,286
CA2210906,284
CA2210907,159
CA2210908,84
CA2210909,117
CA2210910,471
CA2210921,74
CA2210924,420
CA2210925,130
CA2300502,56
CA2300506,100
CA2300507,548
CA2300514,380
CA2300545,78
CA2300584,579
CA2300590,160
CA2300591,310
CA2300596,36
CA2300604,56
CA2300605,250
CA2300606,90
CA2300609,50
CA2300610,188
CA2300634,250
CA2300638,150
CA2300644,280
CA2300646,80
CA2300663,42
CA2300667,157
CA2300668,42
CA2300705,38
CA2300708,235
CA2300717,124
CA2300730,369
CA2300731,400
CA2300735,50
CA2300743,560
CA2300755,309
CA2300764,300
CA2300770,350
CA2300785,100
CA2300826,75
CA2300829,186
CA2300830,289
CA2300832,79
CA2300837,75
CA2300846,25
CA2300847,60
